horizon_months,rank,strategy,label,family,asset_events,asset_successes,asset_probability_pct,independent_market_episodes,independent_events,successes,empirical_probability,probability_pct,confidence_95_low_pct,confidence_95_high_pct,familywise_confidence_low_pct,familywise_confidence_high_pct,median_net_return_pct,quartile_25_net_return_pct,worst_net_return_pct,worst_drawdown_pct,qualifies
11,17,momentum_365,365-Day Absolute Momentum,momentum,302,158,52.32,23,23,14,0.6086956521739131,60.87,40.79,77.84,26.01,87.31,11.06,2.7,-48.84,-56.36,False
11,18,momentum_dual_90_180,Dual Momentum 90/180,momentum,288,154,53.47,23,23,14,0.6086956521739131,60.87,40.79,77.84,26.01,87.31,10.58,2.99,-50.03,-60.56,False
11,19,trend_breakout_200,200-Day Range Breakout,trend,151,82,54.3,20,20,12,0.6,60.0,38.66,78.12,23.75,87.84,11.3,2.86,-29.06,-36.86,False
11,20,trend_triple_ma,Triple Moving Average,trend,265,138,52.08,20,20,12,0.6,60.0,38.66,78.12,23.75,87.84,10.86,2.99,-46.08,-56.36,False
11,21,trend_sma100_200,SMA 100/200,trend,285,158,55.44,22,22,13,0.5909090909090909,59.09,38.73,76.74,24.27,86.69,11.28,3.84,-46.08,-56.36,False
11,22,momentum_90,90-Day Absolute Momentum,momentum,318,176,55.35,24,24,14,0.5833333333333334,58.33,38.83,75.53,24.76,85.62,11.52,3.95,-50.03,-60.6,False
11,23,bollinger_recovery,Bollinger Recovery,reversal,180,110,61.11,21,21,12,0.5714285714285714,57.14,36.55,75.53,22.45,86.0,13.06,3.81,-55.65,-67.52,False
11,24,trend,SMA 50/200 + Momentum,trend,226,115,50.88,21,21,12,0.5714285714285714,57.14,36.55,75.53,22.45,86.0,10.51,2.88,-43.64,-59.37,False
11,25,momentum_composite,Composite Momentum,momentum,136,73,53.68,23,23,13,0.5652173913043478,56.52,36.81,74.37,23.06,84.94,11.17,2.64,-50.03,-60.56,False
11,26,momentum_dual_180_365,Dual Momentum 180/365,momentum,287,152,52.96,23,23,13,0.5652173913043478,56.52,36.81,74.37,23.06,84.94,10.96,2.76,-48.84,-56.36,False
11,27,trend_breakout_100,100-Day Range Breakout,trend,171,90,52.63,20,20,11,0.55,55.0,34.21,74.18,20.57,85.23,11.19,2.54,-30.56,-54.26,False
11,28,drawdown_recovery_30,30% Drawdown Recovery,reversal,44,35,79.55,11,11,6,0.5454545454545454,54.55,28.01,78.73,14.31,89.61,23.15,15.87,-65.73,-76.95,False
11,29,buy_hold,Buy & Hold Benchmark,benchmark,336,177,52.68,24,24,13,0.5416666666666666,54.17,35.07,72.11,21.97,83.23,10.47,2.93,-58.79,-67.52,False
11,30,low_vol_trend,Low-Volatility Trend,risk,191,97,50.79,23,23,11,0.4782608695652174,47.83,29.24,67.04,17.58,79.75,10.08,3.39,-50.03,-60.56,False
12,1,drawdown_recovery,25% Drawdown Recovery,reversal,45,39,86.67,8,8,7,0.875,87.5,52.91,97.76,27.41,99.24,30.87,19.98,-4.04,-39.12,False
12,2,drawdown_recovery_30,30% Drawdown Recovery,reversal,42,35,83.33,9,9,7,0.7777777777777778,77.78,45.26,93.68,23.74,97.52,25.98,19.16,-59.69,-76.95,False
12,3,trend_price_sma200,Price above SMA 200,trend,290,168,57.93,22,22,17,0.7727272727272727,77.27,56.56,89.88,37.87,94.99,13.25,3.44,-40.03,-60.6,False
