portfolio,portfolio_label,months,usd_cagr_pct,annualized_volatility_pct,max_drawdown_pct,positive_calendar_years_pct,worst_calendar_year_pct,best_calendar_year_pct,average_annual_turnover_pct,usd_strategy_factor,rub_cagr_pct,real_rub_cagr_pct,final_rub_from_100k,real_value_in_start_rub,fixed_10pct_deposit_final_rub,fixed_10pct_deposit_real_value
equal_weight_core,Equal-weight diversified resources,176,6.187800142137401,13.387365506072474,-27.324877496841548,60.0,-16.57391727190589,50.19503219787318,0.0,2.4122805496677997,13.508836623496268,5.931640690794815,641359.9897128795,232832.4896553104,404662.2720780502,146904.2749605978
fixed_macro_barbell,Precious / real-assets barbell,176,6.642874518526964,11.909739825197171,-28.05002622666022,60.0,-14.026398080070301,44.374044782786704,0.0,2.568425824045269,13.995285753923703,6.385617280033529,682874.7843259024,247903.57787770825,404662.2720780502,146904.2749605978
top5_trend_equal,Top-5 positive 10-month trends,176,8.140655491744209,19.878132381783864,-52.153717930944154,46.666666666666664,-41.88764074919382,85.68010315012017,546.3636363636363,3.1514128372640346,15.596330088198695,7.879785119238969,837875.2235792145,304173.2840456461,404662.2720780502,146904.2749605978
top5_trend_inverse_vol,"Top-5 trends, inverse volatility",176,9.001342842720227,18.770823351485934,-49.02155800728283,60.0,-40.93011152826218,77.50737793204519,615.5728425917382,3.539977007516881,16.516356868818292,8.738396212873667,941183.9006194859,341677.3642254075,404662.2720780502,146904.2749605978
top3_rotation,Top-3 resource momentum rotation,176,6.79156270896315,23.73918053270864,-57.13617242423088,46.666666666666664,-39.15060400982857,139.1360594237924,656.8181818181819,2.6214514063714187,14.154225137670906,6.533946786277789,696972.8488897037,253021.58886118207,404662.2720780502,146904.2749605978
defensive_trend_barbell,Barbell with trend-to-cash filter,176,5.316319422578908,7.174338594344463,-13.689376260665965,60.0,-7.422544234472095,32.1438708170332,126.47727272727272,2.1376496991943625,12.577272333771061,5.06226226568709,568343.0931256483,206325.21434660247,404662.2720780502,146904.2749605978
core_plus_trend,50% macro core / 50% trend,176,8.104946363149113,13.897071678455081,-28.505349564894978,66.66666666666666,-23.485377487993976,50.09576904199462,307.7864212958691,3.13618468258242,15.558159021105844,7.844162132656196,833826.4701573575,302703.46778904827,404662.2720780502,146904.2749605978
defensive_plus_trend,50% defensive / 50% trend,176,7.444633233724485,12.068527820725752,-30.558321492294827,60.0,-25.389106312298082,43.55974730720349,371.02505765950536,2.866658813615233,14.852321109143428,7.185441892892341,762166.8497322144,276688.92354095774,404662.2720780502,146904.2749605978
