date,equal_weight_core,fixed_macro_barbell,top5_trend_equal,top5_trend_inverse_vol,top3_rotation,defensive_trend_barbell,core_plus_trend,defensive_plus_trend
2012-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-29,0.022475538906008754,0.007235009309880791,0.0,0.0,0.0,0.0,0.0036175046549403954,0.0
2012-03-31,-0.030337063985152377,-0.02679275351312945,0.0,0.0,0.0,0.0,-0.013396376756564726,0.0
2012-04-30,-0.01785976437463362,-0.017748195095171514,0.0,0.0,0.0,0.0,-0.008874097547585757,0.0
2012-05-31,-0.09054814089235147,-0.08004439741938034,0.0,0.0,0.0,0.0,-0.04002219870969017,0.0
2012-06-30,0.023887960559282807,0.030747411998717927,0.0,0.0,0.0,0.0,0.015373705999358963,0.0
2012-07-31,0.00863105394812739,0.012476121331059773,0.0,0.0,0.0,0.0,0.0062380606655298865,0.0
2012-08-31,0.045351941589825875,0.035093081387410366,0.0,0.0,0.0,0.0,0.017546540693705183,0.0
2012-09-30,0.0459143056357852,0.043497644566886526,0.0,0.0,0.0,0.0,0.021748822283443263,0.0
2012-10-31,-0.03512161064698306,-0.035524455166860265,0.0,0.0,0.0,0.0,-0.017762227583430133,0.0
2012-11-30,0.030434102638342824,0.011555862012893646,0.0,0.0,0.0,0.0,0.005777931006446823,0.0
2012-12-31,-0.002299358000888394,-0.009683167256002639,-0.012387017393201222,-0.0011697349474127606,0.014616647953717827,-0.005557822706428067,-0.005426451101707698,-0.003363778826920413
2013-01-31,0.03615206584647123,0.018988541976257392,0.050910579235450094,0.0511105792354501,0.051243912568783426,0.009442113688802234,0.03504956060585375,0.03027634646212617
2013-02-28,-0.03448883873951306,-0.04155629583924977,-0.009199543290713708,-0.0030603310962032605,0.0073818125586737615,0.0026507123328321945,-0.022308313467726514,-0.00020480938168553346
2013-03-31,0.006669914916592696,-0.002593854364946985,0.027850942067829537,0.02855416000555343,0.03987823524883345,0.0034728936626517437,0.012980152820303221,0.016013526834102582
2013-04-30,-0.050118700844367835,-0.04841313926007233,-0.02511970656513212,-0.027688477571772223,0.00465645142066969,-0.007386656731399305,-0.038050808415922274,-0.01753756715158577
2013-05-31,-0.010397913815061804,-0.01783745525372439,0.03586010919932794,0.015921408969889098,-0.03276338634959197,0.010696841235018371,-0.0009580231419176431,0.013309125102453738
2013-06-30,-0.06748405746603946,-0.0687065051116381,-0.048353475085164986,-0.04382418091049522,-0.06286036783167866,-0.011713991662958511,-0.05626534301106666,-0.027769086286726863
2013-07-31,0.049837878603864995,0.04147603903129498,0.0951917516906743,0.08212754097769824,0.10337403211347247,0.006587785591185008,0.061801790004496614,0.04435766328444163
2013-08-31,0.023646257921245663,0.02916464580014878,-0.03513475930717491,-0.03504134675828898,-0.04347192658357716,-0.010367706991620535,-0.0029383504790700997,-0.022704526874954757
2013-09-30,-0.0003860095087001086,-0.0019868665067691573,0.11843013143091424,0.08707944162768504,0.15946138736052898,0.01736497426094763,0.04254628756045793,0.052222207944316326
2013-10-31,0.018649818246978755,0.011312205350369437,0.041675662198099775,0.04062567321638658,0.040799428240531135,0.012718882844575063,0.02596893928337801,0.026672278030480816
2013-11-30,-0.02544152806815537,-0.02571482318362519,0.022472837889346512,0.01772661256047102,0.028051927942599586,0.007611829883227806,-0.003994105311577082,0.012669221221849413
2013-12-31,0.00334705277635541,-0.004928731828556133,-0.001688617107165724,0.010980699194095934,-0.014392936056774792,0.0046109826749567645,0.0030259836827699013,0.00779584093452635
2014-01-31,-0.010122906822811953,-0.001095355868535292,0.00975335632726819,-0.008656018779629685,0.026404799576025262,-0.003895641004225686,-0.004875687324082488,-0.006275829891927685
2014-02-28,0.06407971953446918,0.06735669493648305,0.08807198187263858,0.0762917894078692,0.11036300141099153,0.018111045043132136,0.07182424217217613,0.04720141722550066
2014-03-31,-0.013758715445555895,-0.018165811412096434,-0.022398593825279114,-0.01977871676514855,-0.02367382742371123,0.0013256164874660302,-0.018972264088622494,-0.009226550138841261
2014-04-30,0.0018423316619554783,0.0006921170307581429,-0.03236784734054647,-0.02689389657148714,-0.04538331911761443,0.0011236648769942896,-0.013100889770364497,-0.012885115847246423
