window,pair,entry_date,exit_date,days,direction,entry_z,exit_z,exit_reason,gross_return_pct,net_fee_only_pct,net_conservative_pct
0,DOGE/USD_XLM/USD,2020-10-19,2020-10-26,6.333,long,-2.2664921705936543,-0.5874914638142266,mean_reversion,6.211393266089946,6.131393266089946,5.941393266089946
0,DOGE/USD_XLM/USD,2020-11-24,2020-11-24,0.333,long,-2.85781967687707,-4.076235665813517,stop,-5.1320213981781535,-5.212021398178154,-5.222021398178153
